id_incidente;data_abertura;data_fechamento;status_incidente;area;dashboard;tipo_erro;prioridade;incidente_critico;descricao_resumida
INC0229;14/03/2026;14/03/2026;Encerrado;Financeiro;Painel de Custos;Dados inconsistentes;Alta;Sim;Erro cálculo
INC0230;14/03/2026;14/03/2026;Encerrado;TI;Painel de Vendas;Erro de autenticação;Baixa;Não;Credencial inválida
INC0231;14/03/2026;14/03/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Alta;Sim;Erro ETL
INC0232;14/03/2026;;Em andamento;Comercial;Painel de Leads;Erro de conexão;Média;Não;Timeout consulta
INC0233;14/03/2026;;Aberto;Financeiro;Painel de Receita;Falha de atualização;Alta;Sim;Atualização não executada
INC0234;14/03/2026;14/03/2026;Encerrado;Supply Chain;Painel Logístico;Dados inconsistentes;Média;Não;Dados divergentes
INC0235;14/03/2026;14/03/2026;Encerrado;TI;Painel de Custos;Erro de autenticação;Baixa;Não;Token inválido
INC0236;14/03/2026;14/03/2026;Encerrado;Financeiro;Painel de Receita;Erro de conexão;Média;Não;Erro conexão
INC0237;14/03/2026;14/03/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Crítica;Sim;Erro pipeline ingestão
INC0238;14/03/2026;;Em andamento;Comercial;Painel de Leads;Erro de conexão;Média;Não;Consulta API
INC0239;14/03/2026;14/03/2026;Encerrado;Financeiro;Painel de Custos;Dados inconsistentes;Alta;Sim;Erro cálculo
INC0240;14/03/2026;14/03/2026;Encerrado;TI;Painel de Vendas;Erro de autenticação;Baixa;Não;Erro login
INC0241;14/03/2026;14/03/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Alta;Sim;Erro ingestão
INC0242;14/03/2026;;Em andamento;Comercial;Painel de Leads;Erro de conexão;Média;Não;Erro integração
INC0243;14/03/2026;;Aberto;Financeiro;Painel de Receita;Falha de atualização;Alta;Sim;Atualização falhou
INC0244;14/03/2026;14/03/2026;Encerrado;Supply Chain;Painel Logístico;Dados inconsistentes;Média;Não;Divergência dados
INC0245;14/03/2026;14/03/2026;Encerrado;TI;Painel de Custos;Erro de autenticação;Baixa;Não;Token expirado
INC0246;14/03/2026;14/03/2026;Encerrado;Financeiro;Painel de Receita;Erro de conexão;Média;Não;Fonte offline
INC0247;14/03/2026;14/03/2026;Encerrado;Operações;Painel Logístico;Pipeline falhou;Crítica;Sim;Erro pipeline
INC0248;14/03/2026;;Em andamento;Comercial;Painel de Leads;Erro de conexão;Média;Não;Consulta lenta
INC0249;14/03/2026;14/03/2026;Encerrado;Financeiro;Painel de Custos;Dados inconsistentes;Alta;Sim;Erro cálculo
INC0250;14/03/2026;14/03/2026;Encerrado;TI;Painel de Vendas;Erro de autenticação;Baixa;Não;Credenciais inválidas
